"2021-02-16 at 15:43"
System_Date_(Y-M-D)	System_Time_(h:m:s)	CO₂_(µmol_mol⁻¹)	Cell_Temperature_(°C)	Cell_Pressure_(kPa)	CO₂_Absorption	Input_Voltage_(V)	Flow_Rate_(L_min⁻¹)	
2021-02-16	15:43:28	5.95018e2	5.13575e1	7.38987e1	8.4817943e-2	1.2115037e1	7.2696251e-1	
2021-02-16	15:43:29	5.95779e2	5.13608e1	7.38910e1	8.4890699e-2	1.2116715e1	7.3939948e-1	
2021-02-16	15:43:29	6.04503e2	5.13542e1	7.38905e1	8.5729303e-2	1.2120912e1	7.3088302e-1	
2021-02-16	15:43:30	6.08422e2	5.13542e1	7.38957e1	8.6103448e-2	1.2120912e1	7.2547535e-1	
2021-02-16	15:43:30	6.09100e2	5.13476e1	7.38984e1	8.6169195e-2	1.2108323e1	7.3390359e-1	
2021-02-16	15:43:31	6.10844e2	5.13509e1	7.38880e1	8.6334657e-2	1.2113358e1	7.3616676e-1	
2021-02-16	15:43:31	6.01997e2	5.13575e1	7.39010e1	8.5488815e-2	1.2097413e1	7.1579670e-1	
2021-02-16	15:43:32	5.89959e2	5.13575e1	7.39069e1	8.4328956e-2	1.2102448e1	7.2699217e-1	
2021-02-16	15:43:32	5.83021e2	5.13608e1	7.38895e1	8.3654298e-2	1.2118394e1	7.4337620e-1	
2021-02-16	15:43:33	5.77349e2	5.13575e1	7.38910e1	8.3100547e-2	1.2107484e1	7.2608137e-1	
2021-02-16	15:43:33	5.79161e2	5.13575e1	7.39050e1	8.3277988e-2	1.2102448e1	7.1862630e-1	
2021-02-16	15:43:34	5.95191e2	5.13575e1	7.38967e1	8.4834585e-2	1.2112519e1	7.2706928e-1	
2021-02-16	15:43:34	6.18155e2	5.13542e1	7.39020e1	8.7027177e-2	1.2115876e1	7.2731475e-1	
2021-02-16	15:43:35	6.30327e2	5.13542e1	7.38915e1	8.8171424e-2	1.2110841e1	7.3971614e-1	
2021-02-16	15:43:35	6.08033e2	5.13542e1	7.38897e1	8.6066417e-2	1.2104966e1	7.3400459e-1	
2021-02-16	15:43:36	5.82485e2	5.13542e1	7.38947e1	8.3603200e-2	1.2108323e1	7.2439141e-1	
2021-02-16	15:43:36	5.93839e2	5.13542e1	7.38987e1	8.4704780e-2	1.2101609e1	7.3170952e-1	
2021-02-16	15:43:37	6.04219e2	5.13575e1	7.38882e1	8.5701637e-2	1.2111680e1	7.3746109e-1	
2021-02-16	15:43:37	5.92814e2	5.13542e1	7.39035e1	8.4605712e-2	1.2099931e1	7.1795740e-1	
2021-02-16	15:43:38	5.85810e2	5.13575e1	7.39067e1	8.3926334e-2	1.2108323e1	7.3059043e-1	
2021-02-16	15:43:38	5.93149e2	5.13575e1	7.38862e1	8.4637527e-2	1.2110002e1	7.4930486e-1	
2021-02-16	15:43:39	6.06132e2	5.13542e1	7.38840e1	8.5884971e-2	1.2110002e1	7.3220629e-1	
2021-02-16	15:43:39	6.17024e2	5.13542e1	7.39004e1	8.6920166e-2	1.2121751e1	7.2350649e-1	
2021-02-16	15:43:40	6.24275e2	5.13575e1	7.38960e1	8.7603416e-2	1.2113358e1	7.2706565e-1	
2021-02-16	15:43:40	6.22219e2	5.13608e1	7.39017e1	8.7409372e-2	1.2114198e1	7.3092374e-1	
2021-02-16	15:43:41	6.15403e2	5.13542e1	7.38874e1	8.6766729e-2	1.2113358e1	7.4283609e-1	
2021-02-16	15:43:41	6.09225e2	5.13509e1	7.38907e1	8.6180572e-2	1.2109162e1	7.2813773e-1	
2021-02-16	15:43:42	6.06208e2	5.13542e1	7.38964e1	8.5892257e-2	1.2121751e1	7.1958870e-1	
2021-02-16	15:43:42	6.05879e2	5.13542e1	7.39017e1	8.5860815e-2	1.2107484e1	7.3315725e-1	
2021-02-16	15:43:43	6.06303e2	5.13575e1	7.38870e1	8.5900716e-2	1.2117555e1	7.4034833e-1	
2021-02-16	15:43:43	6.03101e2	5.13608e1	7.39047e1	8.5593967e-2	1.2101609e1	7.1651687e-1	
2021-02-16	15:43:44	5.93001e2	5.13641e1	7.39085e1	8.4622077e-2	1.2116715e1	7.2426562e-1	
2021-02-16	15:43:44	5.84507e2	5.13608e1	7.38927e1	8.3799057e-2	1.2108323e1	7.4423170e-1	
2021-02-16	15:43:45	5.89702e2	5.13608e1	7.38887e1	8.4303474e-2	1.2113358e1	7.2892160e-1	
2021-02-16	15:43:45	6.04290e2	5.13542e1	7.39010e1	8.5708990e-2	1.2102448e1	7.2129921e-1	
