"2021-02-16 at 15:26"
System_Date_(Y-M-D)	System_Time_(h:m:s)	CO₂_(µmol_mol⁻¹)	Cell_Temperature_(°C)	Cell_Pressure_(kPa)	CO₂_Absorption	Input_Voltage_(V)	Flow_Rate_(L_min⁻¹)	
2021-02-16	15:26:49	6.03586e2	5.05354e1	7.38550e1	8.5787601e-2	1.1971527e1	7.4905586e-1	
2021-02-16	15:26:49	6.03168e2	5.05416e1	7.38669e1	8.5746459e-2	1.1965651e1	7.2028164e-1	
2021-02-16	15:26:50	6.05408e2	5.05414e1	7.38805e1	8.5961036e-2	1.1957259e1	7.3033876e-1	
2021-02-16	15:26:50	6.04816e2	5.05476e1	7.38632e1	8.5903282e-2	1.1977401e1	7.4242839e-1	
2021-02-16	15:26:51	6.05528e2	5.05536e1	7.38704e1	8.5970315e-2	1.1948027e1	7.1594066e-1	
2021-02-16	15:26:51	6.13410e2	5.05663e1	7.38857e1	8.6719379e-2	1.1969848e1	7.2933568e-1	
2021-02-16	15:26:52	6.15522e2	5.05788e1	7.38635e1	8.6917552e-2	1.1979919e1	7.4760704e-1	
2021-02-16	15:26:52	6.10271e2	5.05848e1	7.38659e1	8.6417446e-2	1.1984115e1	7.2579345e-1	
2021-02-16	15:26:53	6.08439e2	5.05911e1	7.38832e1	8.6241731e-2	1.1963133e1	7.2232799e-1	
2021-02-16	15:26:53	6.08572e2	5.06004e1	7.38704e1	8.6252717e-2	1.1958098e1	7.3089962e-1	
2021-02-16	15:26:54	6.08719e2	5.06131e1	7.38782e1	8.6264410e-2	1.1969848e1	7.1713590e-1	
2021-02-16	15:26:54	6.11903e2	5.06161e1	7.38867e1	8.6567201e-2	1.1970688e1	7.3697066e-1	
2021-02-16	15:26:55	6.11844e2	5.06255e1	7.38647e1	8.6559886e-2	1.1971527e1	7.4549937e-1	
2021-02-16	15:26:55	6.11059e2	5.06349e1	7.38755e1	8.6483535e-2	1.1963133e1	7.1912860e-1	
2021-02-16	15:26:56	6.15256e2	5.06347e1	7.38907e1	8.6882314e-2	1.1968169e1	7.2856450e-1	
2021-02-16	15:26:56	6.13558e2	5.06474e1	7.38667e1	8.6718854e-2	1.1980758e1	7.4036273e-1	
2021-02-16	15:26:57	7.57178e2	5.06568e1	7.38770e1	9.9583635e-2	1.1966490e1	7.1580562e-1	
2021-02-16	15:26:57	9.22753e2	5.06631e1	7.38919e1	1.1281852e-1	1.1964812e1	7.2378025e-1	
2021-02-16	15:26:58	7.82413e2	5.06725e1	7.38744e1	1.0169743e-1	1.1989990e1	7.4367809e-1	
2021-02-16	15:26:58	6.25710e2	5.06786e1	7.38675e1	8.7861347e-2	1.1966490e1	7.2896127e-1	
2021-02-16	15:26:59	6.00221e2	5.06849e1	7.38877e1	8.5438098e-2	1.1962294e1	7.1806793e-1	
2021-02-16	15:26:59	5.97636e2	5.06880e1	7.38824e1	8.5188913e-2	1.1970688e1	7.2630348e-1	
2021-02-16	15:27:00	5.80201e2	5.06973e1	7.38802e1	8.3495140e-2	1.1986633e1	7.1959571e-1	
2021-02-16	15:27:00	5.58791e2	5.07068e1	7.38850e1	8.1378850e-2	1.1981598e1	7.3639674e-1	
2021-02-16	15:27:01	5.50197e2	5.07164e1	7.38697e1	8.0516510e-2	1.1993347e1	7.4199957e-1	
2021-02-16	15:27:01	5.53041e2	5.07258e1	7.38767e1	8.0800495e-2	1.1981598e1	7.2236261e-1	
2021-02-16	15:27:02	5.62104e2	5.07320e1	7.38852e1	8.1704473e-2	1.1965651e1	7.2330894e-1	
2021-02-16	15:27:02	5.67939e2	5.07415e1	7.38767e1	8.2281475e-2	1.1978241e1	7.2842354e-1	
2021-02-16	15:27:03	5.65807e2	5.07446e1	7.38817e1	8.2069778e-2	1.1990829e1	7.1869654e-1	
2021-02-16	15:27:03	5.69590e2	5.07443e1	7.38864e1	8.2444105e-2	1.1984115e1	7.3712162e-1	
2021-02-16	15:27:04	5.85139e2	5.07538e1	7.38672e1	8.3967123e-2	1.1995865e1	7.4223527e-1	
2021-02-16	15:27:04	5.95761e2	5.07632e1	7.38759e1	8.4994783e-2	1.1989990e1	7.2168016e-1	
2021-02-16	15:27:05	5.87260e2	5.07761e1	7.38827e1	8.4169559e-2	1.2000900e1	7.2790713e-1	
2021-02-16	15:27:05	5.82644e2	5.07856e1	7.38714e1	8.3718385e-2	1.1974044e1	7.3721117e-1	
2021-02-16	15:27:06	5.86482e2	5.07918e1	7.38779e1	8.4091176e-2	1.1973205e1	7.2143001e-1	
2021-02-16	15:27:06	5.79385e2	5.07948e1	7.38895e1	8.3398170e-2	1.1983276e1	7.2096610e-1	
2021-02-16	15:27:07	5.83535e2	5.08011e1	7.38779e1	8.3802547e-2	1.1984955e1	7.4526395e-1	
2021-02-16	15:27:07	5.81341e2	5.08075e1	7.38639e1	8.3587245e-2	1.1987472e1	7.3785219e-1	
2021-02-16	15:27:08	5.62270e2	5.08170e1	7.38797e1	8.1706256e-2	1.1979919e1	7.1867060e-1	
2021-02-16	15:27:08	5.56173e2	5.08232e1	7.38847e1	8.1097335e-2	1.1989990e1	7.2547526e-1	
2021-02-16	15:27:09	5.58966e2	5.08263e1	7.38782e1	8.1375713e-2	1.1974884e1	7.2852649e-1	
2021-02-16	15:27:09	5.64035e2	5.08360e1	7.38820e1	8.1878271e-2	1.1984115e1	7.3707408e-1	
2021-02-16	15:27:10	5.67092e2	5.08390e1	7.38684e1	8.2180767e-2	1.1986633e1	7.4483890e-1	
2021-02-16	15:27:10	5.68660e2	5.08452e1	7.38710e1	8.2334747e-2	1.2000061e1	7.2688035e-1	
2021-02-16	15:27:11	5.77959e2	5.08581e1	7.38872e1	8.3247489e-2	1.1994186e1	7.2050695e-1	
2021-02-16	15:27:11	5.91105e2	5.08645e1	7.38772e1	8.4526929e-2	1.1982437e1	7.2858295e-1	
2021-02-16	15:27:12	5.94664e2	5.08675e1	7.38817e1	8.4870471e-2	1.1976562e1	7.1807889e-1	
2021-02-16	15:27:12	5.87076e2	5.08771e1	7.38857e1	8.4133796e-2	1.1998382e1	7.3949956e-1	
2021-02-16	15:27:13	5.79478e2	5.08835e1	7.38662e1	8.3391780e-2	1.1989990e1	7.4873065e-1	
2021-02-16	15:27:13	5.77010e2	5.08931e1	7.38714e1	8.3148365e-2	1.1974884e1	7.2675566e-1	
2021-02-16	15:27:14	5.77758e2	5.09027e1	7.38870e1	8.3220005e-2	1.1979919e1	7.2802205e-1	
2021-02-16	15:27:14	5.73025e2	5.09090e1	7.38747e1	8.2754125e-2	1.1995025e1	7.3572611e-1	
2021-02-16	15:27:15	5.58993e2	5.09154e1	7.38820e1	8.1363077e-2	1.1976562e1	7.1866607e-1	
2021-02-16	15:27:15	5.51055e2	5.09218e1	7.38905e1	8.0567665e-2	1.1969848e1	7.3324275e-1	
2021-02-16	15:27:16	5.50311e2	5.09250e1	7.38695e1	8.0492420e-2	1.2001739e1	7.4510459e-1	
2021-02-16	15:27:16	5.47609e2	5.09281e1	7.38772e1	8.0220012e-2	1.1979919e1	7.2006502e-1	
2021-02-16	15:27:17	5.41464e2	5.09409e1	7.38897e1	7.9596881e-2	1.2008453e1	7.2456598e-1	
2021-02-16	15:27:17	5.42405e2	5.09440e1	7.38777e1	7.9691648e-2	1.1986633e1	7.3469548e-1	
2021-02-16	15:27:18	5.40038e2	5.09504e1	7.38802e1	7.9450659e-2	1.1995025e1	7.2034244e-1	
2021-02-16	15:27:18	5.23119e2	5.09666e1	7.38917e1	7.7717089e-2	1.1977401e1	7.2607650e-1	
2021-02-16	15:27:19	5.17489e2	5.09729e1	7.38757e1	7.7133779e-2	1.1990829e1	7.4828243e-1	
2021-02-16	15:27:19	5.22577e2	5.09728e1	7.38635e1	7.7660131e-2	1.1988311e1	7.4023962e-1	
