"2021-03-10 at 8:49"
System_Date_(Y-M-D)	System_Time_(h:m:s)	CO₂_(µmol_mol⁻¹)	Cell_Temperature_(°C)	Cell_Pressure_(kPa)	CO₂_Absorption	Input_Voltage_(V)	Flow_Rate_(L_min⁻¹)	
2021-03-10	8:49:38	4.99471e2	5.13443e1	7.40752e1	7.5188169e-2	1.2112519e1	7.1860260e-1	
2021-03-10	8:49:39	4.99394e2	5.13443e1	7.40737e1	7.5180077e-2	1.2102448e1	7.4156455e-1	
2021-03-10	8:49:39	5.00460e2	5.13476e1	7.40557e1	7.5291943e-2	1.2117555e1	7.4673795e-1	
2021-03-10	8:49:40	5.00950e2	5.13443e1	7.40635e1	7.5344181e-2	1.2099931e1	7.2640519e-1	
2021-03-10	8:49:40	5.01221e2	5.13443e1	7.40767e1	7.5372657e-2	1.2099931e1	7.1965103e-1	
2021-03-10	8:49:41	5.01169e2	5.13410e1	7.40682e1	7.5367698e-2	1.2104127e1	7.2663354e-1	
2021-03-10	8:49:41	5.00948e2	5.13410e1	7.40749e1	7.5344510e-2	1.2110002e1	7.1770329e-1	
2021-03-10	8:49:42	5.01385e2	5.13410e1	7.40729e1	7.5390462e-2	1.2094895e1	7.4164419e-1	
2021-03-10	8:49:42	5.02242e2	5.13443e1	7.40567e1	7.5480136e-2	1.2107484e1	7.4565868e-1	
2021-03-10	8:49:43	5.01938e2	5.13443e1	7.40650e1	7.5448217e-2	1.2100770e1	7.2370219e-1	
2021-03-10	8:49:43	5.00907e2	5.13410e1	7.40764e1	7.5340180e-2	1.2090699e1	7.2148628e-1	
2021-03-10	8:49:44	5.02543e2	5.13410e1	7.40667e1	7.5512399e-2	1.2100770e1	7.2859263e-1	
2021-03-10	8:49:44	5.04620e2	5.13476e1	7.40727e1	7.5729556e-2	1.2100770e1	7.1419901e-1	
2021-03-10	8:49:45	5.04582e2	5.13509e1	7.40784e1	7.5724973e-2	1.2102448e1	7.3272953e-1	
2021-03-10	8:49:45	5.05903e2	5.13476e1	7.40612e1	7.5864167e-2	1.2109162e1	7.4344520e-1	
2021-03-10	8:49:46	5.07319e2	5.13410e1	7.40637e1	7.6013555e-2	1.2100770e1	7.2626848e-1	
2021-03-10	8:49:46	5.06980e2	5.13410e1	7.40797e1	7.5978016e-2	1.2098252e1	7.1495223e-1	
2021-03-10	8:49:47	5.05215e2	5.13377e1	7.40739e1	7.5793628e-2	1.2091538e1	7.2062106e-1	
2021-03-10	8:49:47	5.05444e2	5.13410e1	7.40767e1	7.5817017e-2	1.2101609e1	7.1516327e-1	
2021-03-10	8:49:48	5.07448e2	5.13410e1	7.40742e1	7.6027064e-2	1.2098252e1	7.3623437e-1	
2021-03-10	8:49:48	5.11197e2	5.13476e1	7.40617e1	7.6417660e-2	1.2123429e1	7.4215536e-1	
