"2021-03-10 at 8:38"
System_Date_(Y-M-D)	System_Time_(h:m:s)	CO₂_(µmol_mol⁻¹)	Cell_Temperature_(°C)	Cell_Pressure_(kPa)	CO₂_Absorption	Input_Voltage_(V)	Flow_Rate_(L_min⁻¹)	
2021-03-10	8:38:53	4.29169e2	5.13575e1	7.45412e1	6.7492599e-2	1.2088181e1	0	
2021-03-10	8:38:54	4.29032e2	5.13542e1	7.45390e1	6.7477536e-2	1.2086503e1	0	
2021-03-10	8:38:54	4.29700e2	5.13575e1	7.45412e1	6.7552814e-2	1.2093217e1	0	
2021-03-10	8:38:55	4.29407e2	5.13608e1	7.45429e1	6.7519102e-2	1.2088181e1	0	
2021-03-10	8:38:55	4.29332e2	5.13575e1	7.45407e1	6.7511029e-2	1.2087342e1	0	
2021-03-10	8:38:56	4.30096e2	5.13575e1	7.45432e1	6.7597827e-2	1.2099931e1	0	
2021-03-10	8:38:56	4.29419e2	5.13575e1	7.45422e1	6.7520914e-2	1.2089860e1	0	
2021-03-10	8:38:57	4.28550e2	5.13575e1	7.45399e1	6.7422189e-2	1.2086503e1	0	
2021-03-10	8:38:57	4.29820e2	5.13575e1	7.45399e1	6.7566447e-2	1.2094895e1	0	
2021-03-10	8:38:58	4.29566e2	5.13542e1	7.45410e1	6.7538113e-2	1.2085664e1	0	
2021-03-10	8:38:58	4.28839e2	5.13509e1	7.45414e1	6.7456073e-2	1.2085664e1	0	
2021-03-10	8:38:59	4.28919e2	5.13575e1	7.45417e1	6.7464141e-2	1.2090699e1	0	
2021-03-10	8:38:59	4.28436e2	5.13575e1	7.45410e1	6.7409300e-2	1.2088181e1	0	
2021-03-10	8:39:00	4.29648e2	5.13542e1	7.45417e1	6.7547416e-2	1.2101609e1	0	
2021-03-10	8:39:00	4.29404e2	5.13575e1	7.45390e1	6.7519259e-2	1.2083985e1	0	
2021-03-10	8:39:01	4.28436e2	5.13608e1	7.45435e1	6.7408742e-2	1.2086503e1	0	
2021-03-10	8:39:01	4.29272e2	5.13608e1	7.45399e1	6.7503795e-2	1.2089021e1	0	
2021-03-10	8:39:02	4.29272e2	5.13608e1	7.45399e1	6.7503795e-2	1.2089021e1	0	
2021-03-10	8:39:02	4.29152e2	5.13542e1	7.45412e1	6.7491102e-2	1.2087342e1	0	
2021-03-10	8:39:03	4.29252e2	5.13575e1	7.45422e1	6.7502017e-2	1.2088181e1	0	
2021-03-10	8:39:03	4.29747e2	5.13575e1	7.45399e1	6.7558264e-2	1.2089021e1	0	
2021-03-10	8:39:04	4.30080e2	5.13575e1	7.45102e1	6.7595968e-2	1.2083146e1	2.5139329e-1	
2021-03-10	8:39:04	4.36640e2	5.13575e1	7.43480e1	6.8337769e-2	1.2083146e1	5.5527515e-1	
2021-03-10	8:39:05	4.39458e2	5.13575e1	7.41815e1	6.8654828e-2	1.2084825e1	6.5703592e-1	
2021-03-10	8:39:05	4.33436e2	5.13575e1	7.41132e1	6.7976121e-2	1.2074754e1	7.0564980e-1	
2021-03-10	8:39:06	4.27862e2	5.13542e1	7.40867e1	6.7344479e-2	1.2067201e1	7.3706912e-1	
2021-03-10	8:39:06	4.27036e2	5.13542e1	7.40820e1	6.7250518e-2	1.2083985e1	7.5180320e-1	
2021-03-10	8:39:07	4.30200e2	5.13542e1	7.40757e1	6.7610144e-2	1.2074754e1	7.3530969e-1	
2021-03-10	8:39:07	4.32215e2	5.13575e1	7.40824e1	6.7838048e-2	1.2053773e1	7.2272253e-1	
2021-03-10	8:39:08	4.26231e2	5.13575e1	7.40650e1	6.7158226e-2	1.2044541e1	7.5681047e-1	
2021-03-10	8:39:08	4.13405e2	5.13509e1	7.40569e1	6.5686998e-2	1.2043702e1	7.6185159e-1	
2021-03-10	8:39:09	4.07391e2	5.13542e1	7.40467e1	6.4988760e-2	1.2063844e1	7.6249485e-1	
2021-03-10	8:39:09	4.07764e2	5.13542e1	7.40549e1	6.5032243e-2	1.2058808e1	7.5040507e-1	
2021-03-10	8:39:10	4.08565e2	5.13542e1	7.40560e1	6.5125374e-2	1.2035310e1	7.5359783e-1	
2021-03-10	8:39:10	4.10735e2	5.13542e1	7.40547e1	6.5377321e-2	1.2061326e1	7.6245360e-1	
2021-03-10	8:39:11	4.11913e2	5.13542e1	7.40485e1	6.5513854e-2	1.2062165e1	7.5676479e-1	
2021-03-10	8:39:11	4.11306e2	5.13509e1	7.40607e1	6.5443997e-2	1.2052934e1	7.4727749e-1	
2021-03-10	8:39:12	4.12402e2	5.13509e1	7.40537e1	6.5570917e-2	1.2045381e1	7.6523885e-1	
2021-03-10	8:39:12	4.13352e2	5.13476e1	7.40477e1	6.5681400e-2	1.2050416e1	7.5786428e-1	
2021-03-10	8:39:13	4.12018e2	5.13509e1	7.40554e1	6.5526494e-2	1.2050416e1	7.4920225e-1	
2021-03-10	8:39:13	4.11936e2	5.13509e1	7.40585e1	6.5517015e-2	1.2073915e1	7.5951457e-1	
2021-03-10	8:39:14	4.13199e2	5.13509e1	7.40472e1	6.5663151e-2	1.2059648e1	7.5827498e-1	
2021-03-10	8:39:14	4.12152e2	5.13509e1	7.40657e1	6.5542030e-2	1.2067201e1	7.3319549e-1	
2021-03-10	8:39:15	4.11629e2	5.13509e1	7.40677e1	6.5481481e-2	1.2062165e1	7.5067768e-1	
2021-03-10	8:39:15	4.12526e2	5.13509e1	7.40524e1	6.5585365e-2	1.2057969e1	7.6682419e-1	
2021-03-10	8:39:16	4.12113e2	5.13476e1	7.40512e1	6.5537986e-2	1.2050416e1	7.4589385e-1	
2021-03-10	8:39:16	4.11448e2	5.13476e1	7.40632e1	6.5460972e-2	1.2068879e1	7.4421024e-1	
2021-03-10	8:39:17	4.11650e2	5.13542e1	7.40537e1	6.5483450e-2	1.2070558e1	7.5125432e-1	
2021-03-10	8:39:17	4.10973e2	5.13509e1	7.40647e1	6.5405454e-2	1.2047898e1	7.4028120e-1	
2021-03-10	8:39:18	4.09867e2	5.13443e1	7.40579e1	6.5278110e-2	1.2058808e1	7.5729207e-1	
2021-03-10	8:39:18	4.10314e2	5.13443e1	7.40514e1	6.5329937e-2	1.2060487e1	7.5388197e-1	
2021-03-10	8:39:19	4.10765e2	5.13476e1	7.40577e1	6.5381774e-2	1.2052094e1	7.4574799e-1	
2021-03-10	8:39:19	4.10488e2	5.13476e1	7.40585e1	6.5349607e-2	1.2050416e1	7.5033116e-1	
2021-03-10	8:39:20	4.10469e2	5.13476e1	7.40560e1	6.5347433e-2	1.2050416e1	7.4449224e-1	
2021-03-10	8:39:20	4.10344e2	5.13476e1	7.40687e1	6.5332956e-2	1.2063004e1	7.4614496e-1	
2021-03-10	8:39:21	4.10555e2	5.13476e1	7.40547e1	6.5357408e-2	1.2064683e1	7.6190004e-1	
2021-03-10	8:39:21	4.11113e2	5.13443e1	7.40572e1	6.5422563e-2	1.2067201e1	7.4185571e-1	
2021-03-10	8:39:22	4.11110e2	5.13443e1	7.40664e1	6.5422210e-2	1.2069718e1	7.4918413e-1	
2021-03-10	8:39:22	4.11296e2	5.13476e1	7.40495e1	6.5443325e-2	1.2070558e1	7.5675964e-1	
2021-03-10	8:39:23	4.10567e2	5.13509e1	7.40614e1	6.5358309e-2	1.2052934e1	7.2888860e-1	
2021-03-10	8:39:23	4.10842e2	5.13509e1	7.40739e1	6.5390195e-2	1.2064683e1	7.4476056e-1	
2021-03-10	8:39:24	4.11405e2	5.13509e1	7.40534e1	6.5455503e-2	1.2069718e1	7.7129917e-1	
2021-03-10	8:39:24	4.10707e2	5.13476e1	7.40492e1	6.5375037e-2	1.2058808e1	7.4675188e-1	
2021-03-10	8:39:25	4.10888e2	5.13443e1	7.40657e1	6.5396518e-2	1.2045381e1	7.4067497e-1	
2021-03-10	8:39:25	4.10849e2	5.13443e1	7.40542e1	6.5391969e-2	1.2056291e1	7.5220794e-1	
2021-03-10	8:39:26	4.10421e2	5.13476e1	7.40560e1	6.5341925e-2	1.2053773e1	7.3929853e-1	
2021-03-10	8:39:26	4.10069e2	5.13443e1	7.40689e1	6.5301566e-2	1.2037827e1	7.4612483e-1	
2021-03-10	8:39:27	4.11657e2	5.13476e1	7.40514e1	6.5485119e-2	1.2063844e1	7.6581997e-1	
2021-03-10	8:39:27	4.12075e2	5.13476e1	7.40544e1	6.5533633e-2	1.2050416e1	7.4372491e-1	
2021-03-10	8:39:28	4.11150e2	5.13476e1	7.40664e1	6.5426387e-2	1.2056291e1	7.4820752e-1	
2021-03-10	8:39:28	4.11668e2	5.13443e1	7.40517e1	6.5486993e-2	1.2057969e1	7.5685958e-1	
2021-03-10	8:39:29	4.11232e2	5.13410e1	7.40605e1	6.5436906e-2	1.2063004e1	7.2846899e-1	
2021-03-10	8:39:29	4.11102e2	5.13509e1	7.40735e1	6.5420331e-2	1.2048738e1	7.4517827e-1	
2021-03-10	8:39:30	4.12138e2	5.13509e1	7.40524e1	6.5540370e-2	1.2063004e1	7.7148671e-1	
2021-03-10	8:39:30	4.11348e2	5.13410e1	7.40507e1	6.5450296e-2	1.2065522e1	7.4764780e-1	
2021-03-10	8:39:31	4.10215e2	5.13410e1	7.40632e1	6.5318994e-2	1.2057969e1	7.4040269e-1	
2021-03-10	8:39:31	4.10793e2	5.13476e1	7.40592e1	6.5385065e-2	1.2053773e1	7.5178775e-1	
2021-03-10	8:39:32	4.11360e2	5.13476e1	7.40547e1	6.5450811e-2	1.2052934e1	7.4167871e-1	
2021-03-10	8:39:32	4.11372e2	5.13443e1	7.40689e1	6.5452585e-2	1.2053773e1	7.4591755e-1	
2021-03-10	8:39:33	4.11633e2	5.13476e1	7.40524e1	6.5482435e-2	1.2058808e1	7.6419711e-1	
2021-03-10	8:39:33	4.11049e2	5.13509e1	7.40524e1	6.5414228e-2	1.2048738e1	7.4276995e-1	
2021-03-10	8:39:34	4.11287e2	5.13476e1	7.40647e1	6.5442314e-2	1.2069718e1	7.4821639e-1	
2021-03-10	8:39:34	4.11783e2	5.13443e1	7.40492e1	6.5500311e-2	1.2050416e1	7.5573806e-1	
2021-03-10	8:39:35	4.11420e2	5.13509e1	7.40605e1	6.5457224e-2	1.2050416e1	7.2914428e-1	
2021-03-10	8:39:35	4.11788e2	5.13509e1	7.40737e1	6.5499854e-2	1.2045381e1	7.4406299e-1	
2021-03-10	8:39:36	4.12308e2	5.13443e1	7.40517e1	6.5560998e-2	1.2073075e1	7.7129006e-1	
2021-03-10	8:39:36	4.11764e2	5.13476e1	7.40510e1	6.5497503e-2	1.2042024e1	7.4642281e-1	
2021-03-10	8:39:37	4.11615e2	5.13476e1	7.40635e1	6.5480260e-2	1.2043702e1	7.4093298e-1	
2021-03-10	8:39:37	4.12657e2	5.13410e1	7.40579e1	6.5601897e-2	1.2050416e1	7.5143861e-1	
2021-03-10	8:39:38	4.12377e2	5.13410e1	7.40567e1	6.5569572e-2	1.2048738e1	7.3988418e-1	
2021-03-10	8:39:38	4.11384e2	5.13410e1	7.40702e1	6.5454459e-2	1.2064683e1	7.4613742e-1	
2021-03-10	8:39:39	4.12225e2	5.13443e1	7.40520e1	6.5551490e-2	1.2058808e1	7.6394195e-1	
2021-03-10	8:39:39	4.12473e2	5.13509e1	7.40544e1	6.5579137e-2	1.2058808e1	7.4198322e-1	
2021-03-10	8:39:40	4.12851e2	5.13509e1	7.40567e1	6.5622911e-2	1.2059648e1	7.4658222e-1	
2021-03-10	8:39:40	4.12854e2	5.13476e1	7.40445e1	6.5623707e-2	1.2058808e1	7.5553894e-1	
2021-03-10	8:39:41	4.11590e2	5.13476e1	7.40492e1	6.5477442e-2	1.2049577e1	7.2925753e-1	
2021-03-10	8:39:41	4.11957e2	5.13410e1	7.40644e1	6.5520882e-2	1.2045381e1	7.4174361e-1	
2021-03-10	8:39:42	4.12439e2	5.13344e1	7.40397e1	6.5577650e-2	1.2072236e1	7.6956343e-1	
2021-03-10	8:39:42	4.10943e2	5.13443e1	7.40364e1	6.5402889e-2	1.2055451e1	7.4664664e-1	
2021-03-10	8:39:43	4.14641e2	5.13509e1	7.40530e1	6.5829749e-2	1.2049577e1	7.4108037e-1	
2021-03-10	8:39:43	4.20010e2	5.13509e1	7.40402e1	6.6447782e-2	1.2047059e1	7.5051736e-1	
2021-03-10	8:39:44	4.17141e2	5.13509e1	7.40485e1	6.6118011e-2	1.2057130e1	7.3983039e-1	
2021-03-10	8:39:44	4.13566e2	5.13476e1	7.40592e1	6.5706100e-2	1.2057130e1	7.4474029e-1	
2021-03-10	8:39:45	4.14753e2	5.13410e1	7.40420e1	6.5844225e-2	1.2073915e1	7.6130084e-1	
2021-03-10	8:39:45	4.15087e2	5.13476e1	7.40462e1	6.5881819e-2	1.2050416e1	7.4010772e-1	
2021-03-10	8:39:46	4.12145e2	5.13509e1	7.40560e1	6.5541210e-2	1.2063004e1	7.4243044e-1	
2021-03-10	8:39:46	4.14018e2	5.13509e1	7.40414e1	6.5757884e-2	1.2061326e1	7.5169081e-1	
2021-03-10	8:39:47	4.27182e2	5.13509e1	7.40447e1	6.7267570e-2	1.2047059e1	7.3139810e-1	
2021-03-10	8:39:47	4.51731e2	5.13509e1	7.40619e1	7.0025277e-2	1.2064683e1	7.3985795e-1	
2021-03-10	8:39:48	4.73681e2	5.13509e1	7.40402e1	7.2430348e-2	1.2073075e1	7.6171627e-1	
2021-03-10	8:39:48	4.82350e2	5.13443e1	7.40409e1	7.3366169e-2	1.2060487e1	7.3975377e-1	
2021-03-10	8:39:49	5.01236e2	5.13410e1	7.40572e1	7.5374846e-2	1.2052094e1	7.3365936e-1	
2021-03-10	8:39:49	5.10938e2	5.13476e1	7.40492e1	7.6390628e-2	1.2051255e1	7.5200691e-1	
2021-03-10	8:39:50	4.90665e2	5.13542e1	7.40380e1	7.4253387e-2	1.2060487e1	7.4818234e-1	
2021-03-10	8:39:50	4.79986e2	5.13509e1	7.40582e1	7.3111052e-2	1.2059648e1	7.2594685e-1	
2021-03-10	8:39:51	4.80532e2	5.13509e1	7.40642e1	7.3169708e-2	1.2060487e1	7.4405407e-1	
2021-03-10	8:39:51	4.80412e2	5.13509e1	7.40469e1	7.3156828e-2	1.2073075e1	7.6138596e-1	
2021-03-10	8:39:52	4.70377e2	5.13509e1	7.40472e1	7.2071762e-2	1.2058808e1	7.4067258e-1	
2021-03-10	8:39:52	4.63913e2	5.13476e1	7.40635e1	7.1367430e-2	1.2052934e1	7.3584842e-1	
2021-03-10	8:39:53	4.80573e2	5.13476e1	7.40542e1	7.3174724e-2	1.2044541e1	7.4128293e-1	
2021-03-10	8:39:53	4.92744e2	5.13509e1	7.40632e1	7.4475021e-2	1.2053773e1	7.3674726e-1	
2021-03-10	8:39:54	4.88445e2	5.13476e1	7.40590e1	7.4017882e-2	1.2047898e1	7.5096559e-1	
2021-03-10	8:39:54	4.87474e2	5.13509e1	7.40575e1	7.3913726e-2	1.2056291e1	7.4608855e-1	
2021-03-10	8:39:55	4.69628e2	5.13476e1	7.40595e1	7.1990852e-2	1.2065522e1	7.4006052e-1	
2021-03-10	8:39:55	4.28303e2	5.13509e1	7.40642e1	6.7395200e-2	1.2057130e1	7.4782414e-1	
2021-03-10	8:39:56	4.09526e2	5.13542e1	7.40557e1	6.5237054e-2	1.2062165e1	7.5045752e-1	
2021-03-10	8:39:56	4.21263e2	5.13476e1	7.40745e1	6.6592044e-2	1.2057969e1	7.2466535e-1	
2021-03-10	8:39:57	4.28193e2	5.13443e1	7.40762e1	6.7383618e-2	1.2049577e1	7.3967275e-1	
2021-03-10	8:39:57	4.19772e2	5.13476e1	7.40512e1	6.6420984e-2	1.2060487e1	7.6153039e-1	
2021-03-10	8:39:58	4.12503e2	5.13542e1	7.40497e1	6.5582132e-2	1.2077271e1	7.3936772e-1	
2021-03-10	8:39:58	4.09208e2	5.13509e1	7.40667e1	6.5200614e-2	1.2056291e1	7.3163552e-1	
2021-03-10	8:39:59	4.10468e2	5.13476e1	7.40585e1	6.5347342e-2	1.2057130e1	7.3833427e-1	
2021-03-10	8:39:59	4.12528e2	5.13476e1	7.40659e1	6.5586023e-2	1.2056291e1	7.3709607e-1	
