 n. ;Adquisición;CO2 ( ppm );CO ( ppm );RH ( % );T1 ( C );Patm ( hPa );Va ( m/s );T2 ( C );FVa ( L/s );DP ( C );AH ( g/m3 );MR ( g/kg );Tw ( C );H ( kJ/kg )
0;2021/02/15 15:40:55;378;0;54.6;18.9;740;ERR.;ERR.;ERR.;9.6;8.9;7.4;13.6;37.8
1;2021/02/15 15:41:10;379;0;54.5;18.9;740;ERR.;ERR.;ERR.;9.6;8.8;7.4;13.6;37.7
2;2021/02/15 15:41:25;375;0;54.3;18.9;740;ERR.;ERR.;ERR.;9.5;8.8;7.4;13.5;37.7
3;2021/02/15 15:41:40;377;0;54;18.9;740;ERR.;ERR.;ERR.;9.4;8.8;7.3;13.5;37.6
4;2021/02/15 15:41:55;377;0;53.9;18.9;740;ERR.;ERR.;ERR.;9.4;8.7;7.3;13.5;37.5
5;2021/02/15 15:42:10;380;0;54.1;18.9;740;ERR.;ERR.;ERR.;9.4;8.8;7.3;13.5;37.6
6;2021/02/15 15:42:25;379;0;54.2;18.9;740;ERR.;ERR.;ERR.;9.5;8.8;7.4;13.5;37.6
7;2021/02/15 15:42:40;378;0;54.4;18.9;740;ERR.;ERR.;ERR.;9.5;8.8;7.4;13.5;37.7
8;2021/02/15 15:42:55;378;0;54.5;18.9;740;ERR.;ERR.;ERR.;9.6;8.8;7.4;13.6;37.7
9;2021/02/15 15:43:10;379;0;54.5;18.9;740;ERR.;ERR.;ERR.;9.6;8.8;7.4;13.6;37.7
10;2021/02/15 15:43:25;381;0;54.5;18.9;740;ERR.;ERR.;ERR.;9.6;8.8;7.4;13.6;37.7
11;2021/02/15 15:43:40;381;0;54.5;18.9;740;ERR.;ERR.;ERR.;9.6;8.8;7.4;13.6;37.7
12;2021/02/15 15:43:55;383;0;54.4;18.9;740;ERR.;ERR.;ERR.;9.5;8.8;7.4;13.5;37.7
13;2021/02/15 15:44:10;390;0;54.5;18.9;740;ERR.;ERR.;ERR.;9.6;8.8;7.4;13.6;37.7
14;2021/02/15 15:44:25;402;0;54.5;18.9;740;ERR.;ERR.;ERR.;9.6;8.8;7.4;13.6;37.7
15;2021/02/15 15:44:40;431;0;54.6;18.9;740;ERR.;ERR.;ERR.;9.6;8.9;7.4;13.6;37.8
16;2021/02/15 15:44:55;488;0;54.7;18.9;740;ERR.;ERR.;ERR.;9.6;8.9;7.4;13.6;37.8
17;2021/02/15 15:45:10;547;0;54.5;18.9;740;ERR.;ERR.;ERR.;9.6;8.8;7.4;13.6;37.7
18;2021/02/15 15:45:25;593;0;54.5;18.9;740;ERR.;ERR.;ERR.;9.6;8.8;7.4;13.6;37.7
19;2021/02/15 15:45:40;631;0;54.5;18.9;740;ERR.;ERR.;ERR.;9.6;8.8;7.4;13.6;37.7
20;2021/02/15 15:45:55;666;0;54.6;18.9;740;ERR.;ERR.;ERR.;9.6;8.9;7.4;13.6;37.8
21;2021/02/15 15:46:10;696;0;54.5;18.9;740;ERR.;ERR.;ERR.;9.6;8.8;7.4;13.6;37.7
