 n. ;Adquisición;CO2 ( ppm );CO ( ppm );RH ( % );T1 ( C );Patm ( hPa );Va ( m/s );T2 ( C );FVa ( L/s );DP ( C );AH ( g/m3 );MR ( g/kg );Tw ( C );H ( kJ/kg )
0;2021/02/15 15:26:32;313;0;55.6;18.8;740;ERR.;ERR.;ERR.;9.8;9;7.5;13.6;37.9
1;2021/02/15 15:26:47;316;0;54.4;18.9;740;ERR.;ERR.;ERR.;9.5;8.8;7.4;13.5;37.7
2;2021/02/15 15:27:02;318;0;54;18.9;740;ERR.;ERR.;ERR.;9.4;8.8;7.3;13.5;37.6
3;2021/02/15 15:27:17;316;0;54.5;18.9;740;ERR.;ERR.;ERR.;9.6;8.8;7.4;13.6;37.7
4;2021/02/15 15:27:32;315;0;54.7;18.9;740;ERR.;ERR.;ERR.;9.6;8.9;7.4;13.6;37.8
5;2021/02/15 15:27:47;316;0;54.8;18.9;740;ERR.;ERR.;ERR.;9.7;8.9;7.4;13.6;37.8
6;2021/02/15 15:28:02;316;0;54.7;18.9;740;ERR.;ERR.;ERR.;9.6;8.9;7.4;13.6;37.8
7;2021/02/15 15:28:17;312;0;54;18.9;740;ERR.;ERR.;ERR.;9.4;8.8;7.3;13.5;37.6
8;2021/02/15 15:28:32;308;0;54.5;18.9;740;ERR.;ERR.;ERR.;9.6;8.8;7.4;13.6;37.7
9;2021/02/15 15:28:47;308;0;54.8;18.9;740;ERR.;ERR.;ERR.;9.7;8.9;7.4;13.6;37.8
10;2021/02/15 15:29:02;308;0;54.7;18.9;740;ERR.;ERR.;ERR.;9.6;8.9;7.4;13.6;37.8
11;2021/02/15 15:29:17;308;0;55;18.9;740;ERR.;ERR.;ERR.;9.7;8.9;7.5;13.6;37.9
12;2021/02/15 15:29:32;309;0;55.2;18.9;740;ERR.;ERR.;ERR.;9.8;9;7.5;13.6;38
13;2021/02/15 15:29:47;309;0;55.3;18.9;740;ERR.;ERR.;ERR.;9.8;9;7.5;13.7;38
14;2021/02/15 15:30:02;308;0;55.4;18.9;740;ERR.;ERR.;ERR.;9.8;9;7.5;13.7;38.1
15;2021/02/15 15:30:17;308;0;55.5;18.9;740;ERR.;ERR.;ERR.;9.9;9;7.5;13.7;38.1
16;2021/02/15 15:30:32;309;0;55.5;18.9;740;ERR.;ERR.;ERR.;9.9;9;7.5;13.7;38.1
17;2021/02/15 15:30:47;304;0;55.4;18.9;740;ERR.;ERR.;ERR.;9.8;9;7.5;13.7;38.1
18;2021/02/15 15:31:02;303;0;55.5;18.8;740;ERR.;ERR.;ERR.;9.8;9;7.5;13.6;37.9
19;2021/02/15 15:31:17;305;0;55.5;18.8;740;ERR.;ERR.;ERR.;9.8;9;7.5;13.6;37.9
20;2021/02/15 15:31:32;304;0;55.4;18.8;740;ERR.;ERR.;ERR.;9.7;9;7.5;13.6;37.8
21;2021/02/15 15:31:47;304;0;55.5;18.8;740;ERR.;ERR.;ERR.;9.8;9;7.5;13.6;37.9
22;2021/02/15 15:32:02;305;0;55.6;18.8;740;ERR.;ERR.;ERR.;9.8;9;7.5;13.6;37.9
23;2021/02/15 15:32:17;304;0;55.6;18.8;740;ERR.;ERR.;ERR.;9.8;9;7.5;13.6;37.9
24;2021/02/15 15:32:32;305;0;55.5;18.8;740;ERR.;ERR.;ERR.;9.8;9;7.5;13.6;37.9
25;2021/02/15 15:32:47;306;0;55.5;18.8;740;ERR.;ERR.;ERR.;9.8;9;7.5;13.6;37.9
26;2021/02/15 15:33:02;303;0;55.5;18.8;740;ERR.;ERR.;ERR.;9.8;9;7.5;13.6;37.9
27;2021/02/15 15:33:17;304;0;55.5;18.8;740;ERR.;ERR.;ERR.;9.8;9;7.5;13.6;37.9
28;2021/02/15 15:33:32;304;0;55.2;18.8;740;ERR.;ERR.;ERR.;9.7;8.9;7.4;13.6;37.8
29;2021/02/15 15:33:47;303;0;55.1;18.8;740;ERR.;ERR.;ERR.;9.6;8.9;7.4;13.6;37.7
30;2021/02/15 15:34:02;303;0;55.1;18.8;740;ERR.;ERR.;ERR.;9.6;8.9;7.4;13.6;37.7
31;2021/02/15 15:34:17;306;0;55.1;18.8;740;ERR.;ERR.;ERR.;9.6;8.9;7.4;13.6;37.7
32;2021/02/15 15:34:32;307;0;55.3;18.8;740;ERR.;ERR.;ERR.;9.7;8.9;7.5;13.6;37.8
33;2021/02/15 15:34:47;308;0;55;18.8;740;ERR.;ERR.;ERR.;9.6;8.9;7.4;13.5;37.7
